"ID","Fact"
1,"Honey never spoils due to its low moisture content and acidic pH."
2,"Bananas are technically berries, while strawberries are not."
3,"Octopuses have three hearts and blue blood."
4,"A day on Venus is longer than a year on Venus."
5,"There are more possible chess games than atoms in the observable universe."
6,"Sharks existed before trees."
7,"Water can boil and freeze at the same time under specific conditions (triple point)."
8,"The Eiffel Tower can grow taller in summer due to heat expansion."
9,"Humans share about 60% of their DNA with bananas."
10,"A group of flamingos is called a 'flamboyance'."
11,"Wombat droppings are cube-shaped."
12,"The human brain uses about 20% of the body's energy."
13,"Lightning strikes the Earth about 100 times every second."
14,"Some turtles can breathe through their butts."
15,"There are more stars in the universe than grains of sand on Earth."
16,"A single bolt of lightning can heat air to 30,000°C."
17,"Sea otters hold hands while sleeping to avoid drifting apart."
18,"The shortest war in history lasted 38–45 minutes."
19,"Polar bear skin is actually black."
20,"A cockroach can live for weeks without its head."
21,"The Moon is slowly drifting away from Earth."
22,"Hot water can freeze faster than cold water in some conditions (Mpemba effect)."
23,"Some metals explode when exposed to water."
24,"A day on Mercury lasts longer than its year."
25,"The Great Wall of China is not visible from space with the naked eye."
26,"Sloths can hold their breath longer than dolphins."
27,"Venus rotates backwards compared to most planets."
28,"Butterflies can taste with their feet."
29,"Some cats are allergic to humans."
30,"The human stomach gets a new lining every few days."
31,"A cloud can weigh over a million pounds."
32,"Lightning is five times hotter than the surface of the Sun."
33,"There are more bacteria in your body than human cells."
34,"The speed of smell depends on air temperature and wind."
35,"Camels have three eyelids to protect from sand."
36,"A snail can sleep for three years."
37,"Some frogs can survive being frozen solid."
38,"The fingerprints of koalas are almost identical to humans."
39,"The human body contains enough iron to make a small nail."
40,"Sharks can detect one drop of blood in an Olympic-sized pool."
41,"Some fungi can control the behavior of insects."
42,"The Amazon rainforest produces about 20% of Earth’s oxygen."
43,"A bolt of lightning can contain enough energy to toast 100,000 slices of bread."
44,"Earth is not a perfect sphere; it is slightly flattened at the poles."
45,"Some fish can change gender during their lifetime."
46,"Jellyfish have been around for over 500 million years."
47,"The longest living animal may be the Greenland shark."
48,"Ants can carry up to 50 times their own body weight."
49,"The human nose can detect over 1 trillion scents."
50,"Saturn could float in water due to its low density."
51,"A teaspoon of neutron star would weigh billions of tons."
52,"Some metals are liquid at room temperature (e.g., mercury)."
53,"The speed of light is about 299,792 km per second."
54,"Mount Everest grows a few millimeters every year."
55,"A day on Mars is slightly longer than a day on Earth."
56,"Octopus brains are distributed across their arms."
57,"Venus is hotter than Mercury despite being farther from the Sun."
58,"A bolt of lightning is about 1 inch wide."
59,"The human body produces enough heat in 30 minutes to boil a liter of water."
60,"There are more trees on Earth than stars in the Milky Way galaxy."
61,"A blue whale's heart is the size of a small car."
62,"The Amazon River contains about 20% of Earth's freshwater flow."
63,"Some birds can sleep while flying."
64,"The Sahara was once a lush green region."
65,"A day on Jupiter is about 10 hours long."
66,"Sound travels faster in water than in air."
67,"Some insects can survive being frozen and thawed."
68,"The human body emits light, but it is too weak to see."
69,"A group of crows is called a 'murder'."
70,"Sharks do not have bones."
71,"The Earth’s core is as hot as the surface of the Sun."
72,"Some plants can communicate through chemical signals."
73,"The tallest tree ever recorded was over 115 meters tall."
74,"Lightning can strike the same place multiple times."
75,"A tablespoon of honey represents the life work of about 12 bees."
76,"The Moon has moonquakes."
77,"Some lakes can explode due to gas buildup (e.g., Lake Nyos)."
78,"The Pacific Ocean is larger than all land combined."
79,"A day on Uranus lasts about 17 hours."
80,"Humans can survive weeks without food but only days without water."
81,"Some bacteria can survive in space."
82,"The human eye can distinguish about 10 million colors."
83,"A giraffe’s neck has the same number of vertebrae as a human’s."
84,"Some spiders can fly using silk threads."
85,"The Earth’s magnetic field flips periodically."
86,"Some deserts can experience snowfall."
87,"The fastest wind speed ever recorded on Earth exceeded 400 km/h."
88,"The Milky Way galaxy is about 100,000 light-years across."
89,"A teaspoon of soil contains billions of microorganisms."
90,"Some stars are older than the universe's average age distribution suggests due to early formation."
91,"The deepest part of the ocean is deeper than Mount Everest is tall."
92,"A bolt of lightning lasts less than a second."
93,"Some frogs have transparent skin."
94,"The human body replaces most of its cells over time."
95,"Some animals can see ultraviolet light."
96,"The largest organism on Earth is a fungus in Oregon."
97,"Some fish produce their own antifreeze proteins."
98,"The Earth weighs about 5.97 × 10^24 kg."
99,"A cloud can move faster than a car depending on wind speed."
100,"Some ants farm fungi as food."
101,"The Sun accounts for 99.86% of the Solar System's mass."
102,"A day on Neptune lasts about 16 hours."
103,"Some snakes can go months without eating."
104,"The human skeleton is fully replaced roughly every 10 years."
105,"Lightning can create glass from sand (fulgurites)."
106,"Some bacteria can eat plastic."
107,"The deepest known cave is over 2 km deep."
108,"Some birds migrate thousands of kilometers annually."
109,"The Moon is slowly becoming tidally locked to Earth (already mostly is)."
110,"Some fish can glow in the dark (bioluminescence)."
111,"The Earth orbits the Sun at about 107,000 km/h."
112,"Some trees can live for thousands of years."
113,"The human heart beats over 100,000 times per day."
114,"Some insects have existed for over 300 million years."
115,"The Sahara Desert can expand and shrink over time."
116,"Some animals can regenerate limbs."
117,"The Sun will eventually become a red giant."
118,"Some planets may have diamond rain."
119,"The human body contains about 37 trillion cells."
120,"Some clouds form at ground level (fog)."
121,"The Earth’s rotation is slowly slowing down."
122,"Some birds can imitate human speech."
123,"The ocean contains about 97% of Earth’s water."
124,"Some bacteria divide every 20 minutes."
125,"The Sun is a medium-sized star, not especially large."
126,"Some animals can survive extreme radiation."
127,"The universe is about 13.8 billion years old."
128,"Some planets have multiple moons."
129,"The human brain has about 86 billion neurons."
130,"Some trees communicate via underground fungal networks."
131,"The Earth has only one natural satellite (the Moon)."
132,"Some animals can sleep for months (hibernation)."
133,"The Moon influences Earth’s tides."
134,"Some volcanoes exist under the ocean."
135,"The atmosphere is mostly nitrogen and oxygen."
136,"Some fish can walk on land for short periods."
137,"The Earth is the densest planet in the Solar System."
138,"Some plants can eat insects (carnivorous plants)."
139,"The Sun rotates once every ~27 days."
140,"Some animals have existed unchanged for millions of years."
141,"The Amazon basin is the largest rainforest system."
142,"Some stars explode as supernovae."
143,"The Moon has no atmosphere."
144,"Some planets have rings besides Saturn."
145,"The Earth is slightly pear-shaped due to gravity variations."
146,"Some insects use the Earth’s magnetic field to navigate."
147,"The Sun is moving through the galaxy at high speed."
148,"Some animals can detect earthquakes before they happen."
149,"The Milky Way will collide with Andromeda galaxy in the future."
150,"Some bacteria can survive boiling water."
151,"The ocean floor is less explored than Mars."
152,"Some animals use tools."
153,"The Earth’s crust is broken into tectonic plates."
154,"Some clouds are made of ice crystals."
155,"The Moon has fewer than 1000 named craters."
156,"Some planets have atmospheres made of toxic gases."
157,"The Sun loses mass over time due to solar wind."
158,"Some animals can change color for camouflage."
159,"The Earth’s orbit is slightly elliptical."
160,"Some fungi glow in the dark."
161,"The largest volcano in the Solar System is on Mars."
162,"Some animals can survive complete dehydration."
163,"The universe is expanding."
164,"Some planets may have subsurface oceans."
165,"The Earth’s surface is 71% water."
166,"Some animals can regenerate brain tissue."
167,"The Sun is about 4.6 billion years old."
168,"Some planets rotate extremely slowly or quickly."
169,"The Earth has a molten iron core."
170,"Some animals can see magnetic fields."
171,"The Milky Way contains hundreds of billions of stars."
172,"Some animals can survive vacuum conditions briefly."
173,"The Earth’s atmosphere extends far into space."
174,"Some planets have extreme temperature differences."
175,"The Sun produces energy via nuclear fusion."
176,"Some animals use echolocation."
177,"The Earth is the only known planet with life."
178,"Some planets may have exotic forms of matter."
179,"The Moon’s gravity is about 1/6 of Earth’s."
180,"Some animals can survive freezing solid."
181,"The Earth has one major natural satellite."
182,"Some stars are much older than the Sun."
183,"The universe contains billions of galaxies."
184,"Some planets orbit binary stars."
185,"The Sun’s energy takes thousands of years to reach surface."
186,"Some animals can survive in extreme cold."
187,"The Earth’s magnetic poles shift over time."
188,"Some planets have extreme storms."
189,"The Moon influences human tides slightly."
190,"Some bacteria can live in radioactive environments."
191,"The universe has no known edge."
192,"Some animals can survive high pressure."
193,"The Earth is part of the Solar System."
194,"Some planets have extremely thin atmospheres."
195,"The Sun will eventually die out."
196,"Some animals can survive in deserts."
197,"The Earth orbits the Sun once per year."
198,"Some planets are larger than Earth."
199,"The Milky Way is a barred spiral galaxy."
200,"Some animals can survive without oxygen for short periods."
201,"Some deep-sea creatures produce their own light (bioluminescence)."
202,"The Mariana Trench is deeper than Mount Everest is tall."
203,"Some bacteria can survive in boiling acid."
204,"The Earth’s inner core is as hot as the Sun’s surface."
205,"Some plants can move over time (like creeping vines)."
206,"The human body contains enough carbon to make 900 pencils."
207,"Some fish can live in both freshwater and saltwater."
208,"The largest known volcano in the Solar System is Olympus Mons on Mars."
209,"Some animals can regenerate entire organs."
210,"The speed of tectonic plates is about the same as fingernail growth."
211,"Some deserts were once underwater oceans."
212,"The Sun is made of about 75% hydrogen."
213,"Some birds navigate using Earth’s magnetic field."
214,"The human nose can remember smells for years."
215,"Some bacteria can survive without oxygen."
216,"The Earth’s atmosphere protects us from most meteoroids."
217,"Some plants can 'hear' vibrations and respond."
218,"The Moon is slowly moving away from Earth every year."
219,"Some fish can survive freezing temperatures."
220,"The Earth’s rotation is gradually slowing down."
221,"Some animals can survive radiation levels lethal to humans."
222,"The Sun converts millions of tons of mass into energy every second."
223,"Some fungi can live underground for thousands of years."
224,"The Amazon rainforest is sometimes called the 'lungs of the Earth'."
225,"Some animals can sleep with half their brain awake."
226,"The Earth has more than 1,500 active volcanoes."
227,"Some insects can survive being frozen solid and revived."
228,"The Sahara Desert was once a lush green region."
229,"Some planets outside our solar system are called exoplanets."
230,"The Milky Way is moving toward the Andromeda galaxy."
231,"Some animals can detect ultraviolet light invisible to humans."
232,"The deepest ocean point is the Challenger Deep."
233,"Some bacteria can eat metal."
234,"The Earth is about 4.5 billion years old."
235,"Some trees communicate via underground fungal networks."
236,"The Moon has no liquid water on its surface."
237,"Some animals can survive months without food."
238,"The Sun’s light takes about 8 minutes to reach Earth."
239,"Some planets may have diamond rain in their atmospheres."
240,"The human body is mostly water by weight."
241,"Some fish can produce electric shocks."
242,"The Earth orbits the Sun once every 365.25 days."
243,"Some insects existed before dinosaurs."
244,"The Pacific Ocean is the largest ocean on Earth."
245,"Some bacteria can survive in outer space conditions."
246,"The Sun is a medium-sized star called a yellow dwarf."
247,"Some animals can change sex during their lifetime."
248,"The Earth’s magnetic field protects us from solar wind."
249,"Some clouds can weigh over a million kilograms."
250,"The human heart beats over 2.5 billion times in a lifetime."
251,"Some animals use camouflage to avoid predators."
252,"The Earth has only one natural satellite: the Moon."
253,"Some fish can walk on land for short distances."
254,"The Sun contains over 99% of the Solar System’s mass."
255,"Some bacteria can survive extreme heat vents in the ocean."
256,"The universe is expanding at an accelerating rate."
257,"Some animals can regenerate limbs completely."
258,"The Earth’s crust is divided into tectonic plates."
259,"Some plants can trap and digest insects."
260,"The Moon influences ocean tides on Earth."
261,"Some animals can detect earthquakes before humans."
262,"The Sun will eventually become a red giant star."
263,"Some bacteria reproduce every 20 minutes under ideal conditions."
264,"The Earth is slightly flattened at the poles."
265,"Some animals can survive in Antarctica’s extreme cold."
266,"The Milky Way contains hundreds of billions of stars."
267,"Some planets have multiple moons."
268,"The Earth’s core is mainly iron and nickel."
269,"Some fish glow in the dark due to bioluminescence."
270,"The Sun rotates roughly once every 27 days."
271,"Some animals can survive in near-vacuum conditions briefly."
272,"The Earth’s atmosphere is mostly nitrogen."
273,"Some trees live for thousands of years."
274,"The Moon has about 1/6 of Earth’s gravity."
275,"Some insects can survive being frozen and revived."
276,"The Earth is the densest planet in the Solar System."
277,"Some animals can see magnetic fields."
278,"The Sun is about 4.6 billion years old."
279,"Some bacteria can digest plastic."
280,"The Earth’s orbit is slightly elliptical."
281,"Some animals can survive dehydration for long periods."
282,"The Moon has no atmosphere."
283,"Some fish migrate thousands of kilometers."
284,"The Sun produces energy through nuclear fusion."
285,"Some animals can survive high radiation levels."
286,"The Earth has one natural satellite."
287,"Some fungi glow in the dark naturally."
288,"The Milky Way galaxy is a barred spiral galaxy."
289,"Some animals can use tools to solve problems."
290,"The Earth’s surface is about 71% water."
291,"Some bacteria live in deep underground rocks."
292,"The Sun is moving through the galaxy at high speed."
293,"Some animals can survive extreme pressure in the ocean."
294,"The Moon causes tides on Earth’s oceans."
295,"Some planets orbit two stars."
296,"The Earth’s magnetic poles shift over time."
297,"Some animals can survive freezing solid."
298,"The Sun loses mass through solar wind."
299,"Some bacteria can survive without sunlight."
300,"The Earth is the only known planet with life."
301,"Some coral reefs are visible from space due to their size and color contrast."
302,"The human body produces about 1 to 1.5 liters of saliva per day."
303,"Some spiders can survive underwater by trapping air bubbles around their bodies."
304,"The Earth’s atmosphere extends thousands of kilometers into space, gradually thinning out."
305,"Some birds can sleep while flying long distances during migration."
306,"The largest living structure on Earth is the Great Barrier Reef."
